id;customer_name;customer_code;marketing_name;is_active;created_at;updated_at
93;PT Tech Onshore MEP Prefabricatiors Indonesia;TOMPI15;TATA;1;17/02/2026 18:08;17/02/2026 18:08
94;PT Tekpak Indonesia;TI76;TATA;1;17/02/2026 18:08;17/02/2026 18:08
95;PT The Univenus;TU65;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
96;PT Tirta Alam Segar;TAS89;TATA;1;17/02/2026 18:08;17/02/2026 18:08
97;PT Topla Abadi Jaya;TAJ80;TATA;1;17/02/2026 18:08;17/02/2026 18:08
98;PT Torrecid Indonesia;TI30;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
99;PT Unilever Indonesia Tbk;UIT11;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
100;PT Yanmar Indonesia;YI29;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
101;PT YCH Indonesia;YI81;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
102;PT Younexa Inti Materials;YIM94;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
103;PT Zeus Kimiatama Indonesia;ZKI50;TATA;1;17/02/2026 18:08;17/02/2026 18:08
104;OTSUKA DISTRIBUTION;OD02;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
105;CIPTA MULTI BUANA;CMB13;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
106;CJ LOGISTIC SERVICE INDONESIA;CLSI29;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
107;DAHO PNC;DP99;DYAN;1;17/02/2026 18:08;17/02/2026 18:08
108;ELECTRA MOBILITAS INDONESIA;EMI36;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
109;GEORG FISCHER;GF68;DYAN;1;17/02/2026 18:08;17/02/2026 18:08
110;HYUNDAI ENERGY;HE76;NANDA;1;17/02/2026 18:08;17/02/2026 18:08
111;HONDA PRECUSION PARTS MANUFACTURING;HPPM49;DYAN;1;17/02/2026 18:08;17/02/2026 18:08
112;ICI PAINTS;IP28;TATA;1;17/02/2026 18:08;17/02/2026 18:08
113;IGP INTERNASIONAL;II01;TATA;1;17/02/2026 18:08;17/02/2026 18:08
114;KARYA INTI KARTON;KIK62;TATA;1;17/02/2026 18:08;17/02/2026 18:08
115;KYORAKU BLOWMOLDING;KB73;DYAN;1;17/02/2026 18:08;17/02/2026 18:08
116;LION SUPERINDO;LS79;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
117;NS BLUE SCOPE;NBS92;TATA;1;17/02/2026 18:08;17/02/2026 18:08
118;NON FERINDO;NF51;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
119;PROKEMAS;P46;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
120;RECKKIT BENCKIZER;RB73;DEIS;1;17/02/2026 18:08;17/02/2026 18:08
