"id";"role_id";"permission_id";"granted";"assigned_by";"assigned_at"
"230";"13";"88";"1";NULL;"2025-12-12 17:18:42"
"231";"13";"89";"1";NULL;"2025-12-12 17:18:42"
"232";"13";"107";"1";NULL;"2025-12-12 17:18:42"
"233";"13";"108";"1";NULL;"2025-12-12 17:18:42"
"234";"14";"45";"1";NULL;"2025-12-12 17:18:42"
"235";"14";"46";"1";NULL;"2025-12-12 17:18:42"
"236";"14";"47";"1";NULL;"2025-12-12 17:18:42"
"237";"14";"48";"1";NULL;"2025-12-12 17:18:42"
"238";"14";"49";"1";NULL;"2025-12-12 17:18:42"
"239";"14";"50";"1";NULL;"2025-12-12 17:18:42"
"240";"14";"107";"1";NULL;"2025-12-12 17:18:42"
"241";"14";"108";"1";NULL;"2025-12-12 17:18:42"
"242";"14";"109";"1";NULL;"2025-12-12 17:18:42"
"243";"15";"45";"1";NULL;"2025-12-12 17:18:42"
"244";"15";"46";"1";NULL;"2025-12-12 17:18:42"
"245";"15";"48";"1";NULL;"2025-12-12 17:18:42"
"246";"15";"107";"1";NULL;"2025-12-12 17:18:42"
"247";"15";"108";"1";NULL;"2025-12-12 17:18:42"
"248";"16";"63";"1";NULL;"2025-12-12 17:18:42"
"249";"16";"64";"1";NULL;"2025-12-12 17:18:42"
"250";"16";"65";"1";NULL;"2025-12-12 17:18:42"
"251";"16";"66";"1";NULL;"2025-12-12 17:18:42"
"252";"16";"67";"1";NULL;"2025-12-12 17:18:42"
"253";"16";"68";"1";NULL;"2025-12-12 17:18:42"
"254";"16";"69";"1";NULL;"2025-12-12 17:18:42"
"255";"16";"70";"1";NULL;"2025-12-12 17:18:42"
"256";"16";"71";"1";NULL;"2025-12-12 17:18:42"
"257";"16";"72";"1";NULL;"2025-12-12 17:18:42"
"258";"16";"73";"1";NULL;"2025-12-12 17:18:42"
"259";"16";"74";"1";NULL;"2025-12-12 17:18:42"
"260";"16";"75";"1";NULL;"2025-12-12 17:18:42"
"261";"16";"76";"1";NULL;"2025-12-12 17:18:42"
"262";"16";"77";"1";NULL;"2025-12-12 17:18:42"
"263";"16";"78";"1";NULL;"2025-12-12 17:18:42"
"264";"16";"79";"1";NULL;"2025-12-12 17:18:42"
"265";"16";"80";"1";NULL;"2025-12-12 17:18:42"
"266";"16";"107";"1";NULL;"2025-12-12 17:18:42"
"267";"16";"108";"1";NULL;"2025-12-12 17:18:42"
"268";"16";"109";"1";NULL;"2025-12-12 17:18:42"
"269";"16";"110";"1";NULL;"2025-12-12 17:18:42"
