id_inventory_attachment;tipe_item;no_item;po_id;id_inventory_unit;attachment_id;sn_attachment;baterai_id;sn_baterai;charger_id;sn_charger;kondisi_fisik;kelengkapan;catatan_fisik;lokasi_penyimpanan;attachment_status;tanggal_masuk;catatan_inventory;created_at;updated_at
;attachment;ATT0380;;;18;24-02-2338;;;;;Baik;Lengkap;;PAPER;IN_USE;06/04/2024;;;
;attachment;ATT0381;;7633;19;24-02-3313;;;;;Baik;Lengkap;;UNIVENUS SERANG;IN_USE;06/04/2024;;;
;attachment;ATT0382;;;20;24-02-1898;;;;;Baik;Lengkap;;;AVAILABLE;06/04/2024;;;
;attachment;ATT0383;;6630;29;0024;;;;;Baik;Lengkap;;ENERGI SEJAHTERA;IN_USE;20/12/2023;;;
;attachment;ATT0384;;7301;29;0025;;;;;Baik;Lengkap;;SINOTRANS;IN_USE;20/12/2023;;;
;attachment;ATT0385;;6964;29;0040;;;;;Baik;Lengkap;;INTILOG;IN_USE;20/12/2023;;;
;attachment;ATT0386;;;22;24-03-4032;;;;;Baik;Lengkap;;;AVAILABLE;06/04/2024;;;
;attachment;ATT0387;;6573;34;ID-23C-311;;;;;Baik;Lengkap;;IKPP PERAWANG;IN_USE;14/04/2023;;;
;attachment;ATT0388;;5698;34;ID-23C-314;;;;;Baik;Lengkap;;POOL;IN_USE;14/04/2023;;;
;attachment;ATT0389;;6480;34;ID-23C-315;;;;;Baik;Lengkap;;ILC KARAWANG;IN_USE;14/04/2023;;;
;attachment;ATT0390;;5817;34;ID-23C-317;;;;;Baik;Lengkap;;ASPEK KUMBONG;IN_USE;14/04/2023;;;
;attachment;ATT0391;;;34;ID-23C-306;;;;;Baik;Lengkap;;IKPP PERAWANG;IN_USE;02/03/2023;;;
;attachment;ATT0392;;6477;34;ID-23C-307;;;;;Baik;Lengkap;;IKPP PERAWANG;IN_USE;02/03/2023;;;
;attachment;ATT0393;;6595;34;ID-23C-309;;;;;Baik;Lengkap;;IKPP PERAWANG;IN_USE;02/03/2023;;;
;attachment;ATT0394;;;40;0015;;;;;Baik;Lengkap;;-;AVAILABLE;20/12/2023;;;
;attachment;ATT0395;;7225;29;0048;;;;;Baik;Lengkap;;NUSANTARA PASAREBO;IN_USE;20/12/2023;;;
;attachment;ATT0396;;;6;AT20220407005;;;;;Baik;Lengkap;;-;AVAILABLE;13/12/2024;;;
;attachment;ATT0397;;;26;?;;;;;Baik;Lengkap;;?;AVAILABLE;11/07/2025;;;
;attachment;ATT0398;;;26;?;;;;;Baik;Lengkap;;?;AVAILABLE;11/07/2025;;;
;attachment;ATT0399;;;26;?;;;;;Baik;Lengkap;;?;AVAILABLE;11/07/2025;;;
;attachment;ATT0400;;7447;;25-03-'03813;;;;;Baik;Lengkap;;SPV PURWAKARTA;IN_USE;21/04/2025;;;
;attachment;ATT0401;;;26;?;;;;;Baik;Lengkap;;?;AVAILABLE;11/07/2025;;;
;attachment;ATT0402;;5524;19;24-02-3309;;;;;Baik;Lengkap;;KONVERTA MITRA ABADI;IN_USE;06/04/2024;;;
;attachment;ATT0403;;7774;19;24-02-2336;;;;;Baik;Lengkap;;SURYA RENGGO KARAWANG;IN_USE;06/04/2024;;;
;attachment;ATT0404;;7799;21;25-03-'03811;;;;;Baik;Lengkap;;PT. IBR;IN_USE;21/04/2025;;;
;attachment;ATT0405;;7800;21;25-03-'03643;;;;;Baik;Lengkap;;INDOBARAT;IN_USE;21/04/2025;;;
;attachment;ATT0406;;7801;21;25-03-'03815;;;;;Baik;Lengkap;;INDOBARAT;IN_USE;21/04/2025;;;
;attachment;ATT0407;;7743;52;WT2506064;;;;;Baik;Lengkap;;PT. HPPM;IN_USE;08/07/2025;;;
;attachment;ATT0408;;7742;52;WT2506061;;;;;Baik;Lengkap;;PT. HPPM;IN_USE;08/07/2025;;;
;attachment;ATT0409;;7744;45;WT2506052;;;;;Baik;Lengkap;;PT. HPPM;IN_USE;08/07/2025;;;
;attachment;ATT0410;;7745;45;WT2506053;;;;;Baik;Lengkap;;PT. HPPM;IN_USE;08/07/2025;;;
;attachment;ATT0411;;7798;26;0992;;;;;Baik;Lengkap;;PT. BEKAERT;IN_USE;21/04/2025;;;
;attachment;ATT0412;;6967;29;0045;;;;;Baik;Lengkap;;PT. YCH INDONESIA;IN_USE;20/12/2023;;;
;attachment;ATT0413;;7784;35;ID-25C-341;;;;;Baik;Lengkap;;PINDODELI PERAWANG;IN_USE;15/3/2025;;;
;attachment;ATT0414;;5385;26;0991;;;;;Baik;Lengkap;;UNILEVER SUBANG;IN_USE;21/04/2025;;;
;attachment;ATT0415;;7365;47;25-03-'04509;;;;;Baik;Lengkap;;IKPP KRAGGILAN;IN_USE;21/04/2025;;;
