id_inventory_unit;no_unit;no_unit_na;serial_number;id_po;tahun_unit;status_unit_id;lokasi_unit;departemen_id;tanggal_kirim;keterangan;harga_sewa_bulanan;rate_changed_at;harga_sewa_harian;kontrak_id;on_hire_date;off_hire_date;customer_id;customer_location_id;area_id;tipe_unit_id;model_unit_id;kapasitas_unit_id;model_mast_id;tinggi_mast;sn_mast;model_mesin_id;sn_mesin;roda_id;ban_id;valve_id;created_at;updated_at;aksesoris;spk_id;delivery_instruction_id;di_workflow_id;workflow_status;hour_meter;contract_disconnect_date;contract_disconnect_stage;is_temporary_assignment;maintenance_location;temporary_for_contract_id;expected_return_date;asset_tag;acquisition_cost;depreciation_method;useful_life_years;salvage_value;fuel_type;ownership_status;warehouse_location_id
2758;2858;NULL;HHKCFMM3EF0000473;NULL;2021;11;POS 5 (23-12-2024);1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;0;22;42;NULL;NULL;4;S4S-351116;NULL;NULL;NULL;17/02/2026 23:02;NULL;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2759;2859;NULL;HHKCFMM3CF0000474;NULL;2021;11;POS 5 (16-12-2024);1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;0;22;42;NULL;NULL;4;S4S-351136;NULL;NULL;NULL;17/02/2026 23:02;NULL;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2760;2860;NULL;HHKCFMM3TF0000475;NULL;2021;11;POS 5 (16-12-2024);1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;0;22;42;NULL;NULL;4;S4S-351152;NULL;NULL;NULL;17/02/2026 23:02;NULL;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2761;2861;NULL;HHKCFMM3PF0000476;NULL;2021;11;POS 5 (23-12-2024);1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;0;22;42;NULL;NULL;4;S4S-351146;NULL;NULL;NULL;17/02/2026 23:02;NULL;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2762;2862;NULL;HHKCFMM3KF0000477;NULL;2021;1;WORKSHOP HIDUP DIESEL;1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;0;22;42;NULL;NULL;4;S4S-351169;NULL;NULL;NULL;17/02/2026 23:02;NULL;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2763;2863;NULL;HHKCFMM3JF0000478;NULL;2021;12;09-12-2025 FR AMBIL UNIT UPA SURABAYA (TUKAR UNIT JD 3156);1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;0;22;42;NULL;NULL;4;S4S-354590;NULL;NULL;NULL;17/02/2026 23:02;NULL;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2764;2864;NULL;HHKCFMM3KF0000480;NULL;2021;7;SUPERNOVA;1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;Rp6,600,000;18/02/2026 21:16;NULL;316;02/09/2021;NULL;226;358;363;6;0;22;42;NULL;NULL;4;S4S-354592;NULL;NULL;NULL;17/02/2026 23:02;18/02/2026 21:16;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2765;2865;NULL;HHKCFMM3CF0000479;NULL;2021;11;POS 4 (02-01-2025);1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;Rp5,500,000;18/02/2026 21:16;NULL;#N/A;29/09/2020;NULL;#N/A;#N/A;#N/A;6;0;22;42;NULL;NULL;4;S4S-354581;NULL;NULL;NULL;17/02/2026 23:02;18/02/2026 21:16;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2766;2866;NULL;82457;NULL;2021;7;SOUTH PACIFIC VISCOSE SPARE;1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;18/02/2026 21:16;NULL;;NULL;NULL;203;322;384;6;4;24;1;NULL;NULL;18;1DZ-0391196;NULL;NULL;NULL;17/02/2026 23:02;18/02/2026 21:16;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2767;2867;NULL;82381;NULL;2021;11;06-01-2025 FR PAPERTECH;1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;4;24;1;NULL;NULL;18;1DZ-0391321;NULL;NULL;NULL;17/02/2026 23:02;NULL;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2768;2868;NULL;FN978025;NULL;2021;11;POS 2 (31-12-2024);2;NULL;MAST HEIGHT 9000MM, BACKBUZZER, LAMPU SOROT, SPION;Rp14,500,000;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;12;0;16;NULL;NULL;NULL;NULL;-;NULL;5;NULL;17/02/2026 23:02;18/02/2026 10:57;"{""back_buzzer"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2769;2869;NULL;FN978026;NULL;2021;7;NABATI MAJALENGKA (26-06-2025);2;NULL;MAST HEIGHT 9000MM, BACKBUZZER, LAMPU SOROT, SPION;Rp18,500,000;18/02/2026 21:16;NULL;145;15/05/2024;NULL;105;187;26;12;0;16;NULL;NULL;NULL;NULL;-;NULL;5;NULL;17/02/2026 23:02;18/02/2026 21:24;"{""back_buzzer"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2770;2870;NULL;FN981903;NULL;2021;7;HAB DONG INDO;2;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;Rp10,800,000;18/02/2026 21:16;NULL;200;NULL;NULL;67;121;405;7;0;22;NULL;NULL;NULL;NULL;-;NULL;NULL;NULL;17/02/2026 23:02;18/02/2026 21:16;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2771;2871;NULL;FN981904;NULL;2021;11;12-11-2025 FR AMBIL UNIT HEINZ ABC;2;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;7;0;22;NULL;NULL;NULL;NULL;-;NULL;NULL;NULL;17/02/2026 23:02;NULL;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2772;2872;NULL;CT14E-21877;NULL;2021;1;WORKSHOP HIDUP DIESEL;1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;16;24;NULL;NULL;NULL;4;S4S-352073;NULL;NULL;NULL;17/02/2026 23:02;NULL;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2773;2873;NULL;CT14E-21878;NULL;2021;13;DIJUAL RONGSOK (BPK. PREDI PT. LENTERA 26-08-2025);1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;16;24;NULL;NULL;NULL;4;S4S-352071;NULL;NULL;NULL;17/02/2026 23:02;NULL;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2774;2874;NULL;CT14E-21906;NULL;2021;11;06-11-2024 FR UNIVENUS;1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;16;24;NULL;NULL;NULL;4;S4S-350957;NULL;NULL;NULL;17/02/2026 23:02;NULL;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2775;2875;NULL;CT14E-21907;NULL;2021;12;06-11-2024 FR UNIVENUS;1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;18/02/2026 21:16;NULL;;NULL;NULL;111;195;361;6;16;24;NULL;NULL;NULL;4;S4S-350964;NULL;NULL;NULL;17/02/2026 23:02;18/02/2026 21:16;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2776;2876;NULL;CT14E-21908;NULL;2021;7;UNIVENUS;1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;16;24;NULL;NULL;NULL;4;S4S-350958;NULL;NULL;NULL;17/02/2026 23:02;NULL;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
2777;2877;NULL;CT14E-21915;NULL;2021;7;SUCACO (12-12-2025);1;NULL;ROTARY LAMP, SAFETYBLT, BACKBUZZER, LAMPU SOROT, SPION;NULL;NULL;NULL;#N/A;NULL;NULL;#N/A;#N/A;#N/A;6;16;24;NULL;NULL;NULL;4;S4S-350963;NULL;NULL;NULL;17/02/2026 23:02;NULL;"{""rotary_lamp"": true, ""back_buzzer"": true, ""safety_belt"": true, ""mirror"": true}";NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;STRAIGHT_LINE;NULL;NULL;NULL;OWNED;NULL
