unit_id;no_unit;nama_customer;customer_id;lokasi_db;lokasi_mentah;merk;model;tipe;kapasitas;tahun;nomor_po;no_kontrak;awal_kontrak;akhir_kontrak;harga;sumber_data
3614;3714;"PT. Musashi Auto Part";150;"Plant Karawang";Karawang;Heli;CPD25-GB3LI-M;ELECTRIC;;2023;;026/MAPIN/ADD.4/GA/2025;2025-06-01;2026-05-31;11000000;"Marketing, Service, Acc"
4554;5654;"PT. Musashi Auto Part";150;"Plant EJIP";EJIP-Cikarang;TOYOTA;72-8FDJ35;DIESEL;;2025;;026/MAPIN/ADD.4/GA/2025;2025-06-01;2028-05-31;14500000;"Marketing, Service, Acc"
3521;3621;"PT. Musashi Auto Part";150;"Plant Karawang";Karawang;TOYOTA;FDZN30;DIESEL;;2024;;026/MAPIN/ADD.4/GA/2025;2025-07-12;2026-07-11;14700000;"Marketing, Service, Acc"
2705;2805;"PT. LX Phantos Jakarta";137;"Gudang Cakung (CSKD)";"CDC (Cibitung, Cakung)";TCM;FB25P-80C-3F470;ELECTRIC;;2021;;;2025-03-01;2025-03-31;3250000;"Marketing, Service, Acc, Acc"
2193;2293;"PT. LX Phantos Jakarta";137;"Gudang Cakung (CSKD)";"CDC (Cibitung, Cakung)";Yale;FB25RZ;ELECTRIC;;2019;;;2025-03-01;2025-03-31;3250000;"Marketing, Service, Acc, Acc"
2159;2259;"PT. LX Phantos Jakarta";137;"Gudang Cakung (CSKD)";"CDC (Cibitung, Cakung)";Yale;FB25RZ;ELECTRIC;;2018;;;2025-03-01;2025-03-31;3250000;"Marketing, Service, Acc, Acc"
727;827;"PT. LX Phantos Jakarta";137;"Gudang Cakung (CSKD)";"CDC (Cibitung, Cakung)";NICHIYU;FB25PN-72C-470M;ELECTRIC;;2012;;;2025-03-01;2025-03-31;3250000;"Marketing, Service, Acc, Acc"
1564;1664;"PT. LX Phantos Jakarta";137;"Gudang Cakung (CSKD)";"CDC (Cibitung, Cakung)";NISSAN;T1B2L25U-3F430;ELECTRIC;;2015;;;2025-03-01;2025-03-31;3250000;"Marketing, Service, Acc, Acc"
1505;1605;"PT. LX Phantos Jakarta";137;"Gudang Cakung (CSKD)";"CDC (Cibitung, Cakung)";YALE;FB25PZ;ELECTRIC;;2014;;;2025-03-01;2025-03-31;3250000;"Marketing, Service, Acc, Acc"
1413;1513;"PT. LX Phantos Jakarta";137;"Gudang Cakung (CSKD)";"CDC (Cibitung, Cakung)";YALE;FB25PZ;ELECTRIC;;2014;;;2025-03-01;2025-03-31;3250000;"Marketing, Service, Acc, Acc"
2698;2798;"PT. LX Phantos Jakarta";137;"Gudang Cakung (CSKD)";"CDC (Cibitung, Cakung)";TCM;FB25P-80C-3F470;ELECTRIC;;2021;;;2025-03-01;2025-03-31;3250000;"Marketing, Service, Acc, Acc"
951;1051;"PT. LX Phantos Jakarta";137;"Gudang Cakung (CSKD)";"CDC (Cibitung, Cakung)";NICHIYU;FBRW15-75C-600M;ELECTRIC;;2012;;;2025-03-01;2025-03-31;3250000;"Marketing, Service, Acc, Acc"
1830;1930;"PT. LX Phantos Jakarta";137;"Gudang Cakung (CSKD)";"CDC (Cibitung, Cakung)";TOYOTA;8FBN25;ELECTRIC;;2017;;;2025-03-01;2025-03-31;3250000;"Marketing, Service, Acc, Acc"
2135;2235;"PT. LX Phantos Jakarta";137;"Gudang Cakung (CSKD)";"CDC (Cibitung, Cakung)";Yale;FB25RZ;ELECTRIC;;2018;;;2025-03-01;2025-03-31;3150000;"Marketing, Service, Acc, Acc"
1856;1956;"PT. LX Phantos Jakarta";137;"Gudang Cibitung (Daiwa)";CSKD;TOYOTA;8FBN25;ELECTRIC;;2017;;;2025-03-01;2025-03-31;9300000;"Marketing, Service, Acc"
1966;2066;"PT. LX Phantos Jakarta";137;"Gudang Cibitung (Daiwa)";CSKD;TOYOTA;8FBN25;ELECTRIC;;2018;;;2025-03-01;2025-03-31;9300000;"Marketing, Service, Acc"
