NO CHARGER;CHARGER ;NO UNIT;LOKASI;STATUS;Tgl Dtg;Tgl Pertama Kali Kirim
C760;LI 80V 200A SN : TYNC230911024;;POOL (POS 5);AVAILABLE;19/10/2023;
C761;LI 80V 200A SN : TYNC230911052;;POOL (POS 5);AVAILABLE;19/10/2023;
C762;LI 80V 200A SN : TYNC230918093;3880;POOL (POS 2) - Plan My Pack Cibitung;TERPASANG;19/10/2023;06/01/2024
C763;LI 80V 200A SN : TYNC230911059;3882;Arisa Semarang;TERPASANG;19/10/2023;27/12/2023
C764;LI 80V 200A SN : TYNC230911056;;POOL ;AVAILABLE;19/10/2023;03/08/2024
C765;LI 80V 200A SN : TYNC230906021;;POOL (POS 5);AVAILABLE;19/10/2023;
C766;LI 80V 200A SN : TYNC230911022;3884;Intilog Brebes;TERPASANG;19/10/2023;05/08/2024
C767;LI 80V 200A SN : TYNC230911061;3887;Intilog Gedebage Bandung (Gudang Soeta);TERPASANG;19/10/2023;
C768;LI 80V 200A SN : TYNC230911026;;Bima Inti Kertas Cileungsi;SPARE;19/10/2023;16/05/2024
C769;LI 80V 200A SN : TYNC230911057;3870;Hyundai Energy Indonesia (HEI) Deltamas;TERPASANG;19/10/2023;04/06/2024
C770;LI 80V 200A SN : TYNC230911051;;POOL (POS 2) ;AVAILABLE;19/10/2023;18/09/2024
C771;LI 80V 200A SN : TYNC230911028;3891;Arisa Semarang;TERPASANG;19/10/2023;08/10/2024
C772;LI 80V 200A SN : TYNC230911063;3883;Cipta Mortar Utama Gresik;TERPASANG;19/10/2023;07/02/2024
C773;LI 80V 200A SN : TYNC230906020;3894;POOL (POS 2) - Plan Keramik KIA Karawang;TERPASANG;19/10/2023;02/08/2025
C774;LI 80V 200A SN : TYNC230918090;;YCH Indonesia Banten (after repair);SPARE;19/10/2023;24/06/2024
C775;LI 48V 200A SN : APL23035823026;3476;Kaldu Sari Nabati Majalengka;TERPASANG;13/04/2023;05/06/2023
C776;LITHIUM 80V 100A SN : APL23066083005;5307;Astro Technologies Indonesia (Gd.MMP) Cibitung / MM;TERPASANG;;31/10/2023
C777;LITHIUM 80V 100A SN : APL23066083009;3761;Asian Isuzu ;TERPASANG;;31/10/2023
C778;SN : SS2203001031;;Nabati Majalengka;SPARE;;04/11/2023
C779;SN : SS2203001050;;Nabati Majalengka;SPARE;;04/11/2023
C780;LI 48V 200A SN : APL23066012020;3477;Kaldu Sari Nabati Majalengka;TERPASANG;;04/01/2024
C781;LI 48V 200A SN : APL23066012024;3209;POOL (POS 2);TERPASANG;;04/01/2024
C782;LI 24V 50A SN : SW20230915028;;Asianagro (Apical Group) Marunda;SPARE;06/12/2023;02/07/2024
C783;LI 24V 50A SN : SW20230915004;;LG Cibitung;SPARE;06/12/2023;
C784;LI 24V 50A SN : SW20230915002;;Megmilk Jababeka;SPARE;06/12/2023;
C785;LI 24V 50A SN : SW20230915030;3446;Kaldu Sari Nabati Majalengka;TERPASANG;06/12/2023;13/12/2023
C786;LI 24V 50A SN : SW20230915024;3202;POOL (POS 2);TERPASANG;06/12/2023;17/02/2024
C787;LI 24V 50A SN : SW20231005086;5005;POOL;TERPASANG;06/12/2023;04/01/2024
C788;LI 24V 50A SN : SW20230915022;;POOL (POS 2) ;AVAILABLE;06/12/2023;13/12/2023
C789;LI 24V 50A SN : SW20230804017;;POOL (POS 2) ;AVAILABLE;06/12/2023;05/01/2024
C790;LI 24V 50A SN : SW20231005081;;Kaldu Sari Nabati Majalengka;SPARE;06/12/2023;26/03/2024
C791;LI 24V 50A SN : SW20231005088;5007;Kaldu Sari Nabati Majalengka - spare;TERPASANG;06/12/2023;04/01/2024
C792;LI 24V 50A SN : SW20231005087;5010;Kaldu Sari Nabati Majalengka;TERPASANG;06/12/2023;05/01/2024
C793;LI 24V 50A SN : SW20230915001;;POOL (POS 5);AVAILABLE;06/12/2023;05/01/2024
C794;CHARGER 24V 100A SN : 20230818V040;;PT Nugraha Indah Citarasa( Dijual 18.4.24);DIJUAL;06/12/2023;
C795;CHARGER 24V 100A SN : 20230818V039;5357;YCH Cikarang Deltamas (MDC);TERPASANG;06/12/2023;29/07/2025
C796;CHARGER 24V 100A SN : 20230818V018;;POS 5;AVAILABLE;06/12/2023;
C797;LI 80V 200A SN : APL23116525058;;PT HYSIS ENGINERING INDONESIA( DIJUAL 1.12.23);DIJUAL;03/01/2024;04/01/2024
C798;LI 80V 200A SN : APL23116525059;;Musashi Karawang;SPARE;03/01/2024;22/07/2024
C799;LI 80V 200A SN : APL23116525088;;POOL (POS 2) ;AVAILABLE;03/01/2024;
C800;LI 80V 200A SN : APL23116525098;5221;South Pacific Viscose (SPV) Purwakarta spare;TERPASANG;03/01/2024;15/02/2024
C801;LI 80V 200A SN : APL23116525065;;Senopati Fuji Trans Deltamas;SPARE;03/01/2024;05/04/2024
C802;LI 24V 50A SN : SW20231031007;;PT KARENU INDAH(DIJUAL 17.5.24);DIJUAL;03/01/2024;17/05/2024
C803;LI 24V 50A SN : SW20231111037;5064;Kaldu Sari Nabati Indonesia - Rancaekek;TERPASANG;03/01/2024;02/07/2024
C804;LI 24V 50A SN : SW20231028013;5065;Kaldu Sari Nabati Indonesia - Rancaekek;TERPASANG;03/01/2024;02/07/2024
C805;LI 24V 50A SN : SW20231111027;;PT KARENU INDAH(DIJUAL 17.5.24);DIJUAL;03/01/2024;17/05/2024
C806;LI 24V 50A SN : SW20231031022;;PT KARENU INDAH(DIJUAL 17.5.24);DIJUAL;03/01/2024;17/05/2024
C807;LI 24V 50A SN : SW20231111039;5082;Kaldu Sari Nabati Indonesia - Rancaekek;TERPASANG;03/01/2024;02/07/2024
C808;LI 24V 50A SN : SW20231111021;5069;Kaldu Sari Nabati Indonesia - Rancaekek;TERPASANG;03/01/2024;02/07/2024
C809;LI 24V 50A SN : SW20231031011;;PT Indofood Lampung (Dijual - 20 Juni 2024);DIJUAL;03/01/2024;20/06/2024
C810;LI 24V 50A SN : SW20231111022;;PT KARENU INDAH(DIJUAL 17.5.24);DIJUAL;03/01/2024;17/05/2024
C811;LI 24V 50A SN : SW20231031008;5071;Kaldu Sari Nabati Indonesia - Rancaekek;TERPASANG;03/01/2024;02/07/2024
C812;LI 24V 50A SN : SW20231111023;;PT INDOFOOD CBP SUKSES Jakarta ( Dijual 13.8.24);DIJUAL;03/01/2024;26/07/2024
C813;LI 24V 50A SN : SW20231111026;;PT KARENU INDAH(DIJUAL 17.5.24);DIJUAL;03/01/2024;17/05/2024
C814;LI 24V 50A SN : SW20231031010;5072;Kaldu Sari Nabati Indonesia - Rancaekek;TERPASANG;03/01/2024;02/07/2024
C815;LI 24V 50A SN : SW20231028020;5079;Kaldu Sari Nabati Indonesia - Rancaekek;TERPASANG;03/01/2024;02/07/2024
C816;LI 24V 50A SN : SW20231031012;;PT INDOFOOD CBP SUKSES ( Dijual 21.6.24);DIJUAL;03/01/2024;20/06/2024
C817;LI 24V 50A SN : SW20231111016;;PT INDOFOOD CBP SUKSES Jakarta ( Dijual 13.8.24);DIJUAL;03/01/2024;26/07/2024
C818;LI 24V 50A SN : SW20231031009;5076;Kaldu Sari Nabati Indonesia - Rancaekek;TERPASANG;03/01/2024;02/07/2024
C819;LI 24V 50A SN : SW20231031006;;POOL (POS 2) ;AVAILABLE;03/01/2024;
C820;LI 24V 50A SN : SW20231111056;5080;Kaldu Sari Nabati Indonesia - Rancaekek;TERPASANG;03/01/2024;02/07/2024
C821;LI 24V 50A SN : SW20231111035;;PT INDOFOOD CBP SUKSES Jakarta ( Dijual 13.8.24);DIJUAL;03/01/2024;26/07/2024
C822;LI 80V 200A SN : APL23126583232;5107;Asianagro (Apical Group) Marunda;TERPASANG;17/01/2024;20/01/2024
C823;LI 80V 200A SN : APL23126699008;5108;Asianagro (Apical Group) Marunda;TERPASANG;17/01/2024;20/01/2024
C824;LI 80V 200A SN : APL23126583221;5109;Asianagro (Apical Group) Marunda;TERPASANG;17/01/2024;20/01/2024
C825;LI 80V 200A SN : APL23116574008;5111;LG Tangerang;TERPASANG;17/01/2024;19/04/2024
C826;LI 80V 200A SN : APL23116574011;5110;LG Tangerang;TERPASANG;17/01/2024;19/03/2024
C827;LI 24V 50A SN : SW20231130052;5112;Asianagro (Apical Group) Marunda;TERPASANG;17/01/2024;22/01/2024
C828;LI 24V 50A SN : SW20231130042;5113;Asianagro (Apical Group) Marunda;TERPASANG;17/01/2024;22/01/2024
C829;LI 24V 50A SN : SW20231130048;5114;Asianagro (Apical Group) Marunda;TERPASANG;17/01/2024;22/01/2024
C830;LI 24V 50A SN : SW20231130046;;POOL (POS 2) ;AVAILABLE;17/01/2024;22/01/2024
C831;LI 24V 50A SN : SW20231130045;5116;Asianagro (Apical Group) Marunda;TERPASANG;17/01/2024;22/01/2024
C832;LI 24V 50A SN : SW20231130055;5117;Asianagro (Apical Group) Marunda;TERPASANG;17/01/2024;22/01/2024
C833;LI 80V 200A SN : 075673E2312;5118;Daya Cipta Kemasindo - Cibitung;TERPASANG;25/01/2024;30/01/2024
C834;LI 80V 200A SN : 075670E2312;5119;Daya Cipta Kemasindo - Daan Mogot;TERPASANG;25/01/2024;03/02/2024
C835;LI 80V 200A SN : 077578E2312;5120;Daya Cipta Kemasindo - Daan Mogot;TERPASANG;25/01/2024;03/02/2024
C836;LI 80V 200A SN : 077586E2312;5121;Daya Cipta Kemasindo - Cibitung;TERPASANG;25/01/2024;03/02/2024
C837;LITHIUM 80V 200A SN : 092490E2402;5155;Kyoraku Blowmolding (KBI) Karawang Barat;TERPASANG;23/04/2024;30/04/2024
C838;LITHIUM 80V 200A SN : 094117E2403 ;;Surya Renggo Tangerang;SPARE;23/04/2024;22/11/2024
C839;LITHIUM 80V 200A SN : 094100E2403;5156;Nissin Jaya Cibitung / MM;TERPASANG;23/04/2024;20/05/2024
C840;LITHIUM 80V 200A SN : 094129E2403;;PT BERKAH MAKMUR REZEKI( DIJUAL 2.5.24);DIJUAL;23/04/2024;
C841;LITHIUM 80V 200A SN : 087600E2401;;PT PAPERPACK PRINTAMA INDONESIA( DIJUAL 15 MEI 2024);DIJUAL;23/04/2024;15/05/2024
C842;LITHIUM 80V 200A SN : 075671E2312;5185;Jakarta Sereal - Greenland;TERPASANG;23/04/2024;18/05/2024
C843;LITHIUM 80V 200A SN : 075667E2312;5343;Ultra Jaya Milk Padalarang;TERPASANG;23/04/2024;
C844;LITHIUM 80V 200A SN : 087456E2401;5229;Indofood Cakung ;TERPASANG;23/04/2024;09/07/2024
C845;LITHIUM 80V 200A SN : 087467E2401;5201;Badan Surya Andalan Sejahtera (KSB Indonesia) Cibitung / MM;TERPASANG;23/04/2024;29/10/2024
C846;LITHIUM 80V 200A SN : 077589E2312;5210;South Pacific Viscose (SPV) Purwakarta;TERPASANG;23/04/2024;06/06/2024
C847;LITHIUM 80V 200A SN : 085197E2401;5159;South Pacific Viscose (SPV) Purwakarta;TERPASANG;23/04/2024;06/06/2024
C848;LITHIUM 80V 200A SN : 092480E2402;5223;Supernova Cibitung / MM;TERPASANG;23/04/2024;21/06/2024
C849;LITHIUM 80V 200A SN : 092486E2402;5170;Univenus Surabaya;TERPASANG;23/04/2024;13/08/2024
C850;LITHIUM 80V 200A SN : 093901E2402;3716;South Pacific Viscose (SPV) Purwakarta;TERPASANG;23/04/2024;06/06/2024
C851;LITHIUM 80V 200A SN : 09247AE2402;5083;Semen Jaya Sukabumi;TERPASANG;23/04/2024;25/03/2025
C852;LITHIUM 80V 200A SN : 094159E2403;5225;Indofood Cakung ;TERPASANG;23/04/2024;02/07/2024
C853;LITHIUM 80V 200A SN : 092478E2402;;PT BERKAH MAKMUR REJEKI MEDAN (DIJUAL 10.7.24);DIJUAL;23/04/2024;05/07/2024
C854;LITHIUM 80V 200A SN : 094168E2403;;PT BERKAH MAKMUR REJEKI MEDAN (DIJUAL 10.7.24);DIJUAL;23/04/2024;05/07/2024
C855;LITHIUM 80V 200A SN : 094143E2403;;Senopati Fuji Trans Deltamas;SPARE;23/04/2024;27/08/2024
C856;LITHIUM 80V 200A SN : 075645E2312;;POOL (POS 2) ;AVAILABLE;23/04/2024;05/06/2024
C857;LITHIUM 80V 200A SN : 075653E2312;;PT KARENU INDAH( DIJUAL 24.6.24);DIJUAL;23/04/2024;14/06/2024
C858;LITHIUM 80V 200A SN : 075675E2312;3707;South Pacific Viscose (SPV) Purwakarta;TERPASANG;23/04/2024;18/06/2024
C859;LITHIUM 80V 200A SN : 077684E2312;5196;Kamadjaya Gudang Softex KIIC Karawang;TERPASANG;23/04/2024;03/12/2024
C860;LITHIUM 80V 200A SN : 094128E2403;5165;South Pacific Viscose (SPV) Purwakarta;TERPASANG;23/04/2024;06/06/2024
C861;LITHIUM 80V 200A SN : 093875E2402;5173;Jakarta Sereal - Lippo 1 ;TERPASANG;23/04/2024;12/08/2024
C862;LITHIUM 80V 200A SN : 092471E2402;;PT SURYA MULTI CEMERLANG( Dijual 2.7.24);DIJUAL;23/04/2024;
C863;LI-ION 24V 10A SN : SW2403018049;;POOL (POS 5);AVAILABLE;23/04/2024;
C864;LI-ION 24V 10A SN : SWCH24V10A-B;5179;Duta Sentosa Yasa (Gdg Mr. DIY) Marunda;TERPASANG;23/04/2024;22/01/2026
C865;LI-ION 24V 10A SN : SWCH24V10A-B;5180;Duta Sentosa Yasa (Gdg Mr. DIY) Marunda;TERPASANG;23/04/2024;22/01/2026
C866;LI-ION 24V 10A SN : SWCH24V10A-B;5181;Duta Sentosa Yasa (Gdg Mr. DIY) Marunda;TERPASANG;23/04/2024;22/01/2026
C867;LI-ION 24V 10A SN : SWCH24V10A-B;5182;POOL (POS 5);TERPASANG;23/04/2024;
C868;LI-ION 24V 10A SN : SWCH24V10A-B;5183;POOL (POS 5);TERPASANG;23/04/2024;
C869;LI-ION 24V 10A SN : SWCH24V10A-B;5184;Duta Sentosa Yasa (Gdg Mr. DIY) Marunda;TERPASANG;23/04/2024;22/01/2026
C870;LITHIUM 80V 200A SN : 094133E2403;Spare;Arisa Semarang - Spare;TERPASANG;02/05/2024;03/05/2024
C871;LITHIUM 80V 200A SN : 104823E2403;5273;Lazada / Lastana Express Cimanggis;TERPASANG;02/05/2024;03/05/2024
C872;LITHIUM 80V 200A SN : ?;5193;Asianagro (Apical Group) Marunda;TERPASANG;02/05/2024;05/05/2024
C873;LITHIUM 80V 200A SN : 092475E2403;5203;HLI Karawang;TERPASANG;02/05/2024;07/05/2024
C874;LITHIUM 80V 200A SN : 075654E2312;5199;Surya Renggo Karawang;TERPASANG;02/05/2024;10/05/2024
C875;LITHIUM 80V 200A SN : 087598E2401;5200;Surya Renggo Karawang;TERPASANG;02/05/2024;10/05/2024
C876;LITHIUM 80V 200A SN : 094162E2403;5218;Arisa Semarang;TERPASANG;02/05/2024;20/09/2024
C877;LITHIUM 80V 200A SN : 094115E2403;;POOL (POS 5);AVAILABLE;02/05/2024;
C878;LITHIUM 80V 200A SN : 094095E2403;5226;Kyoraku Blowmolding (KBI) Karawang Barat;TERPASANG;02/05/2024;02/09/2024
C879;LITHIUM 80V 200A SN : 094104E2403;5204;HLI Green Power Karawang (LX Pantos);TERPASANG;02/05/2024;11/06/2024
C880;LITHIUM 80V 200A SN : 104811E2403;5158;South Pacific Viscose (SPV) Purwakarta;TERPASANG;02/05/2024;14/06/2024
C881;LITHIUM 80V 200A SN : 094160E2403;5157;South Pacific Viscose (SPV) Purwakarta;TERPASANG;02/05/2024;06/06/2024
C882;JUNGHEINRICH 48V 80A SN : 3573723040414017;;POOL (POS 2);AVAILABLE;02/05/2024;
C883;JUNGHEINRICH 48V 80A SN : 3573723040414004;;POOL (POS 2);AVAILABLE;02/05/2024;
C884;JUNGHEINRICH 48V 80A SN : 3825624010288002;;POOL (POS 2);AVAILABLE;02/05/2024;
C885;JUNGHEINRICH 48V 80A SN : 3825624010288004;;POOL (POS 2);AVAILABLE;02/05/2024;
C886;LITHIUM 80V 200A SN : 108002E2404;;CV Exelindo Abadi ( Dijual 3.7.24);DIJUAL;05/06/2024;02/07/2024
C887;LITHIUM 80V 200A SN : 093934E2402;5219;Arisa Semarang;TERPASANG;05/06/2024;20/09/2024
C888;LITHIUM 80V 200A SN : 094165E2403;5234;KCC Glass Batang;TERPASANG;05/06/2024;
C889;LITHIUM 80V 200A SN : 108006E2404;;Senopati Fuji Trans Deltamas;SPARE;05/06/2024;05/11/2024
C890;LITHIUM 80V 200A SN : 108006E2404;;PT MULIA BERSAUDARA( DIJUAL 9 Nov 24);DIJUAL;05/06/2024;09/11/2024
C891;LITHIUM 80V 200A SN : 111171E2404;5454;Cipta Mortar Utama Gresik;TERPASANG;05/06/2024;19/02/2025
C892;LITHIUM 80V 200A SN : 108005E2404;5272;Kaldu Sari Nabati Majalengka;TERPASANG;05/06/2024;10/10/2024
C893;LITHIUM 80V 200A SN : 108025E2404;5342;Daya Cipta Kemasindo Karawang;TERPASANG;05/06/2024;27/09/2024
C894;LITHIUM 80V 200A SN : 097410E2402;5186;Papandayan Cocoa Industri (Mengger Beans);TERPASANG;05/06/2024;28/10/2024
C895;LITHIUM 80V 200A SN : 108009E2404;5455;Cipta Mortar Utama Cibitung;TERPASANG;05/06/2024;10/02/2025
C896;LITHIUM 80V 200A SN : 108010E2404;5452;Cipta Mortar Utama Cibitung;TERPASANG;05/06/2024;10/02/2025
C897;LITHIUM 80V 200A SN : 111169E2404;5274;Daya Cipta Kemasindo Karawang;TERPASANG;05/06/2024;11/11/2024
C898;LITHIUM 80V 200A SN : 108024E2404;;PT INDOFOOD FORTUNA MAKMUR( DIJUAL 7.10.24) UNILIFT;DIJUAL;05/06/2024;07/10/2024
C899;LITHIUM 80V 200A SN : 111168E2404;5344;Sinotrans Cibitung / MM;TERPASANG;05/06/2024;03/10/2024
C900;LITHIUM 80V 200A SN : 108017E2404;5231;Asianagro (Apical Group) Marunda;TERPASANG;05/06/2024;31/08/2024
C901;LITHIUM 80V 200A SN : 093942E2402;5514;YCH Cikarang Deltamas (MDC);TERPASANG;05/06/2024;30/12/2024
C902;LITHIUM 80V 200A SN : 111161E2404;5387;Univenus Serang;TERPASANG;05/06/2024;31/01/2025
C903;LITHIUM 80V 200A SN : 111160E2404;5451;Cipta Mortar Utama Cibitung;TERPASANG;05/06/2024;10/02/2025
C904;LITHIUM 80V 200A SN : 111154E2404;5198;Kamadjaja Softek Karawang;TERPASANG;05/06/2024;30/10/2024
C905;LITHIUM 80V 200A SN : 108013E2404;5236;KCC Glass Batang;TERPASANG;05/06/2024;
C906;LITHIUM 80V 200A SN : 093940E2402;5227;Arisa Semarang;TERPASANG;05/06/2024;20/09/2024
C907;LITHIUM 80V 200A SN : 112826E2404;5214;LG tangerang;TERPASANG;05/06/2024;02/10/2024
C908;LITHIUM 80V 200A SN : 111156E2404;;POOL (POS 5) ;AVAILABLE;05/06/2024;31/10/2024
C909;LITHIUM 80V 200A SN : 111155E2404;;KCC Glass Batang;SPARE;05/06/2024;
C910;LITHIUM 80V 200A SN : 108011E2404;5235;KCC Glass Batang;TERPASANG;05/06/2024;
C911;LITHIUM 80V 200A SN : 111158E2404;;CV EXELINDO ABADI( DIJUAL 16.7.24);DIJUAL;05/06/2024;16/07/2024
C912;LITHIUM 80V 200A SN : 093935E2404;;CV EXCELINDO ABADI ( ERIK) DIJUAL 28.6.24);DIJUAL;05/06/2024;01/07/2024
C913;LITHIUM 24V 100A SN : SW2403282308;;PT BERKAH MAKMUR REJEKI( Dijual 27.6.24);DIJUAL;05/06/2024;27/06/2024
C914;LITHIUM 24V 100A SN : SW2403017008;;PT Hulane Tech Manufacture(Dijual 26.7.24);DIJUAL;05/06/2024;
C915;LI-ION 24V 30A SN : TFL243024C02155;;PT Hulane Tech Manufacture(Dijual 26.7.24);DIJUAL;;
C916;WEIHAI TONSLOAD POWER LFP-CAN 100-240V SN : NLZNZB24122309100387;5264;POOL (POS 5);TERPASANG;05/08/2024;
C917;WEIHAI TONSLOAD POWER LFP-CAN 100-240V SN : NLZNZB24122309100342;5265;POOL (POS 5);TERPASANG;05/08/2024;
C918;WEIHAI TONSLOAD POWER LFP-CAN 100-240V SN : NLZNZB24122309100327;5266;POOL (POS 5);TERPASANG;05/08/2024;
C919;LITHIUM 29.2V 100-240Vac SN : NLZNZB24122309100351;;POOL (POS 5) ;AVAILABLE;;
C920;LITHIUM 80V 200A SN : 118551E2405;5346;Ultra Jaya Milk Padalarang;TERPASANG;;08/11/2024
C921;LITHIUM 80V 200A SN : 120840E2406;5269;Lazada / Lastana Express Cimanggis;TERPASANG;;04/09/2024
C922;LITHIUM 80V 200A SN : 118557E2405;5270;Lazada / Lastana Express Cimanggis;TERPASANG;;04/09/2024
C923;LITHIUM 80V 200A SN : 118560E2405;5271;Lazada / Lastana Express Cimanggis;TERPASANG;;04/09/2024
C924;LITHIUM 80V 200A SN : 118544E2405;;Lazada / Lastana Express Cimanggis;SPARE;;04/09/2024
C925;LITHIUM 80V 200A SN : 120827E2406;5499;POOL (POS 2) - Plan LG Tangerang;TERPASANG;;31/08/2024
C926;LITHIUM 80V 200A SN : 118559E2405;5309;Tuffindo Nittoku Autoneum (TNA) Karawang;TERPASANG;;07/09/2024
C927;LITHIUM 80V 200A SN : 118555E2405;5276;HLI Green Power Karawang (LX Pantos);TERPASANG;;03/09/2024
C928;LITHIUM 80V 200A SN : 120830E2406;5310;Supernova Ancol;TERPASANG;;25/09/2024
C929;LITHIUM 80V 200A SN : 118545E2405;5311;Resik Bumi Perkasa Cikarang;TERPASANG;;20/09/2024
C930;LITHIUM 80V 200A SN : 118548E2405;5350;Bakrie Autoparts Pondok Ungu;TERPASANG;;01/10/2024
C931;LITHIUM 80V 200A SN : 118554E2405;5351;IGP Internasiona Klaten;TERPASANG;;05/10/2024
C932;LITHIUM 80V 200A SN : 7500006835;;Bekaert Indonesia;SPARE;;
C933;LITHIUM 80V 200A SN : ;;POOL (POS 5) ;AVAILABLE;;
C934;LITHIUM 80V 200A SN : ;;POOL (POS 5) ;AVAILABLE;;
C935;LITHIUM 80V 200A SN : ;;POOL (POS 5) ;AVAILABLE;;
C936;LITHIUM 80V 200A SN : ;;POOL (POS 5) ;AVAILABLE;;
C937;LITHIUM 80V 200A SN : ;;POOL (POS 5) ;AVAILABLE;;
C938;LITHIUM 80V 200A SN : ;;POOL (POS 5) ;AVAILABLE;;
C939;LI 24V 50A SN : SW2406270089;;Heinz abc karawang;SPARE;03/09/2024;
C940;LI 24V 50A SN : SW2406270082;;POOL (POS 2) ;AVAILABLE;03/09/2024;
C941;LI 24V 50A SN : SW2406270098;5316;Kamadjaja (Kaldu sari Nabati Indonesia - Majalengka);TERPASANG;03/09/2024;08/01/2025
C942;LI 24V 50A SN : SW2406270108;;Trimitra Delta Silicon 2 Cikarang;SPARE;03/09/2024;
C943;LI 24V 220A SN : 20240604V209;;PT. NUGRAHA INDAH CITA RASA( DIJUAL 19.9.24);DIJUAL;03/09/2024;19/09/2024
C944;LI 24V 50A SN : SW2407060060;5318;POOL POS 5 - Plan Dfharma Polimetal Trial;TERPASANG;03/09/2024;05/05/2025
C945;LI 24V 50A SN : SW2407060054;5319;Duta Sentosa Yasa (Gdg Mr. DIY) Marunda;TERPASANG;03/09/2024;
C946;LI 24V 50A SN : SW2407060073;5320;Duta Sentosa Yasa (Gdg Mr. DIY) Marunda;TERPASANG;03/09/2024;
C947;LI 24V 50A SN : SW2407060061;5321;IKPP Tangerang;TERPASANG;03/09/2024;07/02/2025
C948;LI 24V 50A SN : SW2407060063;5322;IKPP Tangerang;TERPASANG;03/09/2024;07/02/2025
C949;LI 24V 220A SN : 20240621V215;5331;Arisa Semarang;TERPASANG;03/09/2024;20/09/2024
C950;LI 24V 220A SN : 20240621V212;5332;Arisa Semarang;TERPASANG;03/09/2024;20/09/2024
C951;LI 24V 220A SN : 20240621V265;5333;Arisa Semarang;TERPASANG;03/09/2024;20/09/2024
C952;LI 24V 220A SN : 20240621V264;5334;Arisa Semarang;TERPASANG;03/09/2024;20/09/2024
C953;LI 24V 220A SN : 20240621V217;5335;Arisa Semarang;TERPASANG;03/09/2024;20/09/2024
C954;LI 24V 220A SN : 20240621V325;5336;Arisa Semarang;TERPASANG;18/09/2024;20/09/2024
C955;LI 24V 220A SN : 20240621V216;5337;Arisa Semarang;TERPASANG;18/09/2024;20/09/2024
C956;LI 24V 220A SN : 20240621V214;5338;Arisa Semarang;TERPASANG;18/09/2024;20/09/2024
C957;LI 24V 220A SN : 20240621V269;5339;Arisa Semarang;TERPASANG;18/09/2024;20/09/2024
C958;LI 24V 220A SN : 20240621V213;5340;Arisa Semarang;TERPASANG;18/09/2024;20/09/2024
C959;LI 80V 200A SN : 176750E2408;5341;Reckit Benckiser Cileungsi;TERPASANG;18/09/2024;27/09/2024
C960;LI 80V 200A SN : 174447E2407;;Intilog Subang;SPARE;18/09/2024;28/10/2024
C961;LI 80V 200A SN : 176746E2408;5386;Topla Abadi Jaya Cibitung;TERPASANG;18/09/2024;28/11/2024
C962;LI 80V 200A SN : 176569E2407;;My Pack Cibitung;SPARE;18/09/2024;29/10/2024
C963;LI 80V 200A SN : 176573E2407;5312;Gunanusa Delta Silicon 3;TERPASANG;18/09/2024;14/12/2024
C964;LI 80V 200A SN : 176571E2407;5714;Primacor Mandiri Cikupa Tangerang;TERPASANG;18/09/2024;28/10/2024
C965;LI 80V 200A SN : 120802E2406;5384;Indocorr Packaging Cikarang Jababeka;TERPASANG;18/09/2024;31/10/2024
C966;LI 80V 200A SN : 176741E2408;5461;DHL Supply Chain (P & G Teluk Jambe) Karawang;TERPASANG;18/09/2024;
C967;LI 80V 200A SN : 176742E2408;;POOL (POS 5) ;AVAILABLE;18/09/2024;
C968;LI 80V 200A SN : 120266E2406;;PT.PRASAD SEEDS INDONESIA( DIJUAL 31.10.24);DIJUAL;18/09/2024;31/10/2024
C969;LI 80V 200A SN : 118550E2405;5388;Godrej Consumer Product Gunung Putri Bogor;TERPASANG;18/09/2024;02/11/2024
C970;LI 24V 50A SN : SW2407060057;;YCH Deltamas;SPARE;20/09/2024;07/01/2025
C971;LI 24V 50A SN : SW2405310466;08020JFG604;Berkah Makmur Rejeki (Dijual 10.01.25);DIJUAL;20/09/2024;
C972;LI 24V 50A SN : SW2407060089;;POOL (POS 5) ;AVAILABLE;20/09/2024;
C973;LI 24V 50A SN : SW2407130051;;Nabati Majalengka;SPARE;20/09/2024;26/12/2024
C974;LI 24V 50A SN : 20240604V214;6010;POOL (POS 5) - Plan Lami Packaging Cikande Serang;TERPASANG;20/09/2024;28/12/2025
C975;LI 24V 50A SN : 20240604V101;5358;YCH Cikarang Deltamas (MDC);TERPASANG;20/09/2024;28/12/2025
C976;LI 24V 50A SN : 20240604V213;5359;YCH Cikarang Deltamas (MDC);TERPASANG;20/09/2024;28/12/2025
C977;LI 80V 200A SN : 174319E2407;5367;South Pacific Viscose (SPV) Purwakarta;TERPASANG;23/09/2024;27/09/2024
C978;LI 80V 200A SN : 183903E2408;5364;South Pacific Viscose (SPV) Purwakarta;TERPASANG;23/09/2024;26/09/2024
C979;LI 80V 200A SN : 183900E2408;5366;South Pacific Viscose (SPV) Purwakarta;TERPASANG;23/09/2024;27/09/2024
C980;LI 80V 200A SN : 183916E2408;5372;South Pacific Viscose (SPV) Purwakarta;TERPASANG;23/09/2024;28/09/2024
C981;LI 80V 200A SN : 185465E2408;5373;South Pacific Viscose (SPV) Purwakarta;TERPASANG;23/09/2024;28/09/2024
C982;LI 80V 200A SN : 181816E2408;5362;South Pacific Viscose (SPV) Purwakarta;TERPASANG;23/09/2024;27/09/2024
C983;LI 80V 200A SN : 185466E2408;5363;South Pacific Viscose (SPV) Purwakarta;TERPASANG;23/09/2024;26/09/2024
