ID_Unit;SN_Unit;Status_Tagihan_ACC;Status_Kontrak_MKT;Aktif_Service_SRV;Lokasi_Gudang_INV;Masalah;Rekomendasi_Validasi
5275;UNKNOWN;KOSONG;ADA_KONTRAK;KOSONG;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5307;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5404;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5414;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5727;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5148;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5295;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5296;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5501;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5502;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5283;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5220;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5386;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5579;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5034;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5580;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5343;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5346;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5381;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5383;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5570;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5571;UNKNOWN;KOSONG;ADA_KONTRAK;SERVIS_JALAN;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5561;UNKNOWN;KOSONG;ADA_KONTRAK;KOSONG;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
5559;UNKNOWN;KOSONG;ADA_KONTRAK;KOSONG;"TIDAK ADA DI MASTER";"Unit diproses operasional tapi Tidak Ditemukan di Master Database. | [WARNING] Kontrak ada di Marketing, tapi belum ada penagihan di Accounting.";"Tambahkan unit ke database gudang terlebih dahulu."
