ID_Unit;Serial_Number;Tahun_Unit;Nama_Customer;No_PO;No_Kontrak;Awal_Sewa;Akhir_Sewa;Harga_Bulan;Sumber_Data_Customer
2554;CT18C-87033;2020;"PT INDOLAKTO";;;;;0;MARKETING
2564;CT14E-20560;2020;"PT Prysmian Cables Indonesia";;;;;0;MARKETING
2571;C900R04694T;2020;"PT KALDU SARI NABATI INDONESIA";;;;;0;MARKETING
2572;C900R04765T;2020;"PT NISSIN JAYA INDONESIA";;;;;0;MARKETING
2583;74928;2020;"PT KALDU SARI NABATI INDONESIA";;;;;0;MARKETING
2584;74929;2020;"10-02-2026 AMBIL UNIT FR JAKARTA SEREAL CAKUNG TUKAR UNIT JD 3054";;;;;0;WAREHOUSE
2586;FDC03-1130-02225;2021;"PT FRIGOGLASS INDONESIA";;;;;0;MARKETING
2593;516329V00736;2019;"PT. Musashi Auto Part";;;;;0;MARKETING
2594;FN962268;2020;"PT SUPERNOVA FLEXIBLE PACKAGING";;;;;0;MARKETING
2595;FN962269;2020;"PT SUPERNOVA FLEXIBLE PACKAGING";;;;;0;MARKETING
2613;HHKCFMM7VL0000272;2020;"PT. Asahimas Flat Glass Tbk";;;;;0;MARKETING
2614;HHKCFMM5KL0000489;2020;"PT. Asahimas Flat Glass Tbk";;;;;0;MARKETING
2621;1A553392;2020;"Purinusa Eka Persada";;;;;0;MARKETING
2622;1A553716;2020;"PT. CJ LOGISTIK SERVICE (26-07-2025)";;;;;0;WAREHOUSE
2635;62804;2020;"18-03-2025 FR TIRTA ALAM SEGAR";;;;;0;WAREHOUSE
2636;62807;2020;"11-04-2025 FR ADI JAYA MONTANA";;;;;0;WAREHOUSE
2638;75730;2020;"PT BERJAYA NAWAPLASTIC";;;;;0;MARKETING
2639;75507;2019;"Indah Kiat Pulp And Paper";;;;;0;MARKETING
2641;43H32960;2020;"PT CAHAYAPUTRA ASA KERAMIK Tbk";;;;;0;MARKETING
2642;43H62959;2020;"PT DHARMA POLIMETAL Tbk (PT KOMALA AGUNG)";;;;;0;MARKETING
2643;HHKHB107CL0000446;2020;"09-12-2025 FR AMBIL UNIT CJ LOGISTIK (SURABAYA)";;;;;0;WAREHOUSE
2644;75765;2020;"Indah Kiat Pulp and Paper";;;;;0;MARKETING
2645;75728;2020;"PT LINFOX LOGISTICS";;;;;0;MARKETING
2648;19071902;2020;"INDAH KIAT PULP AND PAPER";;;;;0;WAREHOUSE
2655;43E31687;2020;"CIPTA MULTI BUANA PERKASA";;;;;0;WAREHOUSE
2664;CT18C-87301;2020;"PT TEKPAK INDONESIA";;;;;0;MARKETING
2671;CT28C-51368;2021;"PT SUPERNOVA FLEXIBLE PACKAGING";;;;;0;MARKETING
2672;CT28C-51371;2021;"PT SUPERNOVA";;;;;0;MARKETING
2680;75860;2021;"11-03-2025 FR MY PACK";;;;;0;WAREHOUSE
2681;76332;2021;"Indah Kiat Pulp and Paper";;;;;0;MARKETING
2682;76333;2021;"Indah Kiat Pulp and Paper";;;;;0;MARKETING
2684;81342;2021;"PT JAKARTA SEREAL";;;;;0;MARKETING
2686;81795;2021;"KCC GLASS";;;;;0;MARKETING
2694;257D00577;2021;"Rapid Plast";;;;;0;MARKETING
2696;257D00579;2021;"PT CS2";;;;;0;MARKETING
2719;185F02115;2021;"PT SUPERNOVA FLEXIBLE PACKAGING";;;;;0;MARKETING
2722;322AC2952;2021;"CJ LOGISTIC SERVICE INDONESIA";;;;;0;MARKETING
2725;CT14E-21754;2021;"KOKO INTI";;;;;0;WAREHOUSE
2728;HHKHFP10PL0000426;2020;"PT HAB DONG INDO";;;;;0;MARKETING
2733;81819;2021;"PT PRIMACORR MANDIRI";;;;;0;MARKETING
2737;Q1BA06520;2021;"PT SURYA RENGO CONTAINERS";;;;;0;MARKETING
2739;Q1BA06523;2021;"PT DHARMA POLIMETAL Tbk";;;;;0;MARKETING
2740;Q1BA06530;2021;"PT ASPEX KUMBONG";;;;;0;MARKETING
2741;Q1BA06531;2021;"PT ASPEX KUMBONG";;;;;0;MARKETING
2742;Q1BA06532;2021;"PT ASPEX KUMBONG";;;;;0;MARKETING
2744;Q1BA06534;2021;"PT ASPEX KUMBONG";;;;;0;MARKETING
