NO. URUT;SERIAL NUMBER;MODEL;TYPE UNIT;DEPARTMENT;YEAR;SPECIFICATION;ENGINE MODEL;SN ENGINE;KAP;FUEL TYPE;MAST TYPE;MAST HEIGHT;SN MAST;TYPE TIRE;FRONT TYRE;REAR TIRE;VALVE
128;185F-04973;NRS18CB1;REACH TRUCK;ELECTRIC;2026;MAST TRIPLEX STAGE 7000MM, FORK 1070MM, 4CV, ACCESSORIES BACKBUZZER, LAMPU SOROT, SPION.;-;-;1,8TON;ELECTRIC;R18M700MS (3 STAGE);7000MM;-;CASTER WHEEL;-;-;4
129;F5033010;ETV MC320-1150-10520DZ;REACH TRUCK;ELECTRIC;2026;SIT-ON basic lead cap. at load centre 600mm 2000kg, residual capacity at top beam 1000kg, maximum fork height 10520mm, close mast height 4140mm free lift 3400mm, extended mast height, ACCESORIES, LAMPU SOROT, BACK BUZZER, SPION, SAFETYBELT, SPION, ROTARY LAMP;-;-;2TON;ELECTRIC;10520MM (FFL);10520MM;-;CASTER WHEEL;-;-;3
130;F5032972;ETV MC320-1150-10520DZ;REACH TRUCK;ELECTRIC;2026;SIT-ON basic lead cap. at load centre 600mm 2000kg, residual capacity at top beam 1000kg, maximum fork height 10520mm, close mast height 4140mm free lift 3400mm, extended mast height, ACCESORIES, LAMPU SOROT, BACK BUZZER, SPION, SAFETYBELT, SPION, ROTARY LAMP;-;-;2TON;ELECTRIC;10520MM (FFL);10520MM;-;CASTER WHEEL;-;-;3
131;F5032977;ETV MC320-1150-11510DZ;REACH TRUCK;ELECTRIC;2026;SIT-ON basic lead cap. at load centre 600mm 2000kg, residual capacity at top beam 1000kg, maximum fork height 11510mm, close mast height 4470mm free lift 3870mm, extended mast height;-;-;2TON;ELECTRIC;11510MM (FFL);11510MM;-;CASTER WHEEL;-;-;3
132;F5032978;ETV MC320-1150-11510DZ;REACH TRUCK;ELECTRIC;2026;SIT-ON basic lead cap. at load centre 600mm 2000kg, residual capacity at top beam 1000kg, maximum fork height 11510mm, close mast height 4470mm free lift 3870mm, extended mast height;-;-;2TON;ELECTRIC;11510MM (FFL);11510MM;-;CASTER WHEEL;-;-;3
133;F5032971;ETV MC320-1150-10520DZ;REACH TRUCK;ELECTRIC;2026;SIT-ON basic lead cap. at load centre 600mm 2000kg, residual capacity at top beam 1000kg, maximum fork height 10520mm, close mast height 4140mm free lift 3400mm, extended mast height, ACCESORIES, LAMPU SOROT, BACK BUZZER, SPION, SAFETYBELT, SPION, ROTARY LAMP;-;-;2TON;ELECTRIC;10520MM (FFL);10520MM;-;CASTER WHEEL;-;-;3
134;F5032974;ETV MC320-1150-10520DZ;REACH TRUCK;ELECTRIC;2026;SIT-ON basic lead cap. at load centre 600mm 2000kg, residual capacity at top beam 1000kg, maximum fork height 10520mm, close mast height 4140mm free lift 3400mm, extended mast height, ACCESORIES, LAMPU SOROT, BACK BUZZER, SPION, SAFETYBELT, SPION, ROTARY LAMP;-;-;2TON;ELECTRIC;10520MM (FFL);10520MM;-;CASTER WHEEL;-;-;3
135;F5032973;ETV MC320-1150-10520DZ;REACH TRUCK;ELECTRIC;2026;SIT-ON basic lead cap. at load centre 600mm 2000kg, residual capacity at top beam 1000kg, maximum fork height 10520mm, close mast height 4140mm free lift 3400mm, extended mast height, ACCESORIES, LAMPU SOROT, BACK BUZZER, SPION, SAFETYBELT, SPION, ROTARY LAMP;-;-;2TON;ELECTRIC;10520MM (FFL);10520MM;-;CASTER WHEEL;-;-;3
136;010353R7125;CPCD35-M1K2;FORKLIFT CB;DIESEL;2026;FORKLIFT DIESEL TYPE CB MITSUBISHI S4S, M300 MAST, 3 SPOOL+HOSE, PNEUMATIC TYRE, FORK 1070MM, SAFETYBELT, BACKBUZZER.;MITSUBISHI;S4S-421695;3,5TON;DIESEL;M300;3000MM;-;PNEUMATIC;28X9-15;6.50-10;3
137;07025DT7549;CQD25-A2RLIG2;REACH TRUCK;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE RT STANDING, ZSM600 MAST,80V150ah LITIUM, 4VALVES WITH SIDE SHIFTER, FORK 1150MM, ACCESSORIES ROTARY BEACON, BACKBUZZER, USB CHARGER, LED;-;-;2,5TON;ELECTRIC;ZSM600;6000MM;-;CASTER WHEEL;-;-;4
138;FDZN30-45485;FDZN30;FORKLIFT CB;DIESEL;2026;FDZN30 COUNTERBALANCE 3, DIESEL POWERED, OPERATOR TYPE SITE DOWN, AUTOMATIC TRANSMISSION, PNEUMATIC TIRE, LIFT HEIGHT 4300MM (WIDE VISIBLE FULL FREE LIFT 3 STAGES FSV Mast), FORK LENGHT 1070MM, ROTARY LAMP, 2 CONTROL VALVE, BACKBUZZER, SAFETYBELT.;TOYOTA;1DZ-0441976;3TON;DIESEL;FSV 4300MM;4300MM;-;PNEUMATIC;28X9B15;6.50B10;2
