NO. URUT;SERIAL NUMBER;MODEL;TYPE UNIT;DEPARTMENT;YEAR;SPECIFICATION;ENGINE MODEL;SN ENGINE;KAP;FUEL TYPE;MAST TYPE;MAST HEIGHT;SN MAST;TYPE TIRE;FRONT TYRE;REAR TIRE;VALVE
173;05035DT8140;CPD35-GC6LI-S;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM FORKLIFT ZSM450 PHENEMITIC TIRE FORK 1220MM, ROTARY, BACKBUZZER, SPION, LED, SAFETY BELT, USB CHARGER;-;-;3,5TON;ELECTRIC;ZSM450;4500MM;-;SOLID TIRE;28X9-15;200/50-10;3
174;07018DT8124;CQD18-A2RLIG2;REACH TRUCK;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE RT HELI LITHIUM BATTERY STANDING TYPE REACH TRUCK ZSM675 SIDE SHIFTER AA50mm FORK, SAFETY BELT, LED, BACKBUZZER, DISPLAY, USB CHARGER, INCLUDE CAMERA;-;-;1,8TON;ELECTRIC;ZSM675;6750MM;-;CASTER WHEEL;-;-;4
175;07018DT8125;CQD18-A2RLIG2;REACH TRUCK;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE RT HELI LITHIUM BATTERY STANDING TYPE REACH TRUCK ZSM675 SIDE SHIFTER AA50mm FORK, SAFETY BELT, LED, BACKBUZZER, DISPLAY, USB CHARGER, INCLUDE CAMERA;-;-;1,8TON;ELECTRIC;ZSM675;6750MM;-;CASTER WHEEL;-;-;4
176;07018DT8259;CQD18-A2RLIG2;REACH TRUCK;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE RT HELI LITHIUM BATTERY STANDING TYPE REACH TRUCK ZSM600 SIDE SHIFTER AA50mm FORK;-;-;1,8TON;ELECTRIC;ZSM600;6000MM;-;CASTER WHEEL;-;-;4
177;07018DT8260;CQD18-A2RLIG2;REACH TRUCK;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE RT HELI LITHIUM BATTERY STANDING TYPE REACH TRUCK ZSM675 SIDE SHIFTER AA50mm FORK, SAFETY BELT, LED, BACKBUZZER, DISPLAY, USB CHARGER, INCLUDE CAMERA;-;-;1,8TON;ELECTRIC;ZSM675;6750MM;-;CASTER WHEEL;-;-;4
178;07020DT8388;CQD20-GB2SHDLI;REACH TRUCK;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE RT HELI REACH TRUCK ZSM950 LITHIUM BATTERY SIDE SHIFTER 1150mm, SAFETY BELT, LED, BACKBUZZER, DISPLAY, USB CHARGER, ROTARY BEKEN, SPION, SEAT, INCLUDE CAMERA FRONT;-;-;2TON;ELECTRIC;ZSM950;9500MM;-;CASTER WHEEL;-;-;4
179;07020DT8389;CQD20-GB2SHDLI;REACH TRUCK;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE RT HELI REACH TRUCK ZSM950 LITHIUM BATTERY SIDE SHIFTER 1150mm, SAFETY BELT, LED, BACKBUZZER, DISPLAY, USB CHARGER, ROTARY BEKEN, SPION, SEAT, INCLUDE CAMERA FRONT;-;-;2TON;ELECTRIC;ZSM950;9500MM;-;CASTER WHEEL;-;-;4
180;07020DT8390;CQD20-GB2SHDLI;REACH TRUCK;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE RT HELI REACH TRUCK ZSM950 LITHIUM BATTERY SIDE SHIFTER 1150mm, SAFETY BELT, LED, BACKBUZZER, DISPLAY, USB CHARGER, ROTARY BEKEN, SPION, SEAT, INCLUDE CAMERA FRONT;-;-;2TON;ELECTRIC;ZSM950;9500MM;-;CASTER WHEEL;-;-;4
181;07020DT8391;CQD20-GB2SHDLI;REACH TRUCK;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE RT HELI REACH TRUCK ZSM950 LITHIUM BATTERY SIDE SHIFTER 1150mm, SAFETY BELT, LED, BACKBUZZER, DISPLAY, USB CHARGER, ROTARY BEKEN, SPION, SEAT, INCLUDE CAMERA FRONT;-;-;2TON;ELECTRIC;ZSM950;9500MM;-;CASTER WHEEL;-;-;4
182;07020DT8392;CQD20-GB2SHDLI;REACH TRUCK;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE RT HELI REACH TRUCK ZSM950 LITHIUM BATTERY SIDE SHIFTER 1150mm, SAFETY BELT, LED, BACKBUZZER, DISPLAY, USB CHARGER, ROTARY BEKEN, SPION, SEAT, INCLUDE CAMERA FRONT;-;-;2TON;ELECTRIC;ZSM950;9500MM;-;CASTER WHEEL;-;-;4
183;07025DT8678;CQD25-A2RLIG2;REACH TRUCK;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE RT HELI STANDING TYPEREACH TRUCK ZSM500 SIDE SHIFTER 1150MM FORK, ROTARY BEKEN, LED, BACKBUZZER, SPION, USB CHARGER;-;-;2,5TON;ELECTRIC;ZSM500;5000MM;-;CASTER WHEEL;-;-;4
184;07025DT8679;CQD25-A2RLIG2;REACH TRUCK;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE RT HELI STANDING TYPEREACH TRUCK ZSM500 SIDE SHIFTER 1150MM FORK, ROTARY BEKEN, LED, BACKBUZZER, SPION, USB CHARGER;-;-;2,5TON;ELECTRIC;ZSM500;5000MM;-;CASTER WHEEL;-;-;4
185;07025DT8680;CQD25-A2RLIG2;REACH TRUCK;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE RT HELI STANDING TYPEREACH TRUCK ZSM500 SIDE SHIFTER 1150MM FORK, ROTARY BEKEN, LED, BACKBUZZER, SPION, USB CHARGER;-;-;2,5TON;ELECTRIC;ZSM500;5000MM;-;CASTER WHEEL;-;-;4
186;010253S1434;CPCD25-M1K2;FORKLIFT CB;DIESEL;2026;FORKLIFT DIESEL TYPE CB HELI DIESEL MITSHUBISHI S4S METIC TRANSMITION ZSM500 MAST 3 PNEUMATIC TIRE 1070MM, ROTARY BEKEN, SAFETY BELT, LED, SPION, BACKBUZZER, 4 SILINDER;MITSUBISHI;S4S-422965;2,5TON;DIESEL;ZSM500;5000MM;-;PNEUMATIC;7.00-12;6.00-9;3
187;010253S1435;CPCD25-M1K2;FORKLIFT CB;DIESEL;2026;FORKLIFT DIESEL TYPE CB HELI DIESEL MITSHUBISHI S4S METIC TRANSMITION ZSM500 MAST 3 SOLID TIRE 1070MM, ROTARY BEKEN, SAFETY BELT, LED, SPION, BACKBUZZER, 4 SILINDER;MITSUBISHI;S4S-422967;2,5TON;DIESEL;ZSM500;5000MM;-;SOLID TIRE;7.00-12;6.00-9;3
188;010503R9262;CPCD50-M4XK2;FORKLIFT CB;DIESEL;2026;FORKLIFT DIESEL TYPE CB HELI DIESEL MITSUBISHI S6S METIC TRANSMITION MAST M300 PHENEMITIC TIRE FORK 2230MM, ROTARY, LED, SPION, BACKBUZZER, SAFETY BELT, 6 SILINDER;MITSUBISHI;S6S-142371;5TON;DIESEL;M300;3000MM;-;PNEUMATIC;300-15;7.00-12;2
189;06015DT8524;CPD15SQ-A6LIG3-S;THREE WHEEL;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB THREE WHEEL HELI LITHIUM FORKLIFT ZSM500 MAST3CV 1070 MM FORK,80V150Ah LISHEN 80V 100 A CHARGER, ROTARY, BACKBUZZER, SAFETY BELT, USB CHARGER, SPION, LED;-;-;1,8TON;ELECTRIC;ZSM300;3000MM;-;SOLID TIRE;18X7-8;140/55-9;3
190;05025DT8358;CPD25-A6LIK3-H;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM FORKLIFT M300, 80V202AH, REMA CHARGER, SOLID TYRE 1070MM FORK, ROTARY, BACKBUZZER, SPION, LED, SAFETY BELT;-;-;2,5TON;ELECTRIC;M300;3000MM;-;SOLID TIRE;7.00-12;6.00-9;2
191;05025DT8359;CPD25-A6LIK3-H;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM FORKLIFT M300, 80V202AH, REMA CHARGER, SOLID TYRE 1070MM FORK, ROTARY, BACKBUZZER, SPION, LED, SAFETY BELT;-;-;2,5TON;ELECTRIC;M300;3000MM;-;SOLID TIRE;7.00-12;6.00-9;2
192;05025DT8360;CPD25-A6LIK3-H;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM FORKLIFT M300, 80V202AH, REMA CHARGER, SOLID TYRE 1070MM FORK, ROTARY, BACKBUZZER, SPION, LED, SAFETY BELT;-;-;2,5TON;ELECTRIC;M300;3000MM;-;SOLID TIRE;7.00-12;6.00-9;2
193;05025DT8361;CPD25-A6LIK3-H;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM FORKLIFT M300, 80V202AH, REMA CHARGER, SOLID TYRE 1070MM FORK, ROTARY, BACKBUZZER, SPION, LED, SAFETY BELT;-;-;2,5TON;ELECTRIC;M300;3000MM;-;SOLID TIRE;7.00-12;6.00-9;2
194;05025DT8362;CPD25-A6LIK3-H;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM FORKLIFT M300, 80V202AH, REMA CHARGER, SOLID TYRE 1070MM FORK, ROTARY, BACKBUZZER, SPION, LED, SAFETY BELT;-;-;2,5TON;ELECTRIC;M300;3000MM;-;SOLID TIRE;7.00-12;6.00-9;2
195;05035DT8138;CPD35-GC6LI-S;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM FORKLIFT M300, 80V202AH, REMA CHARGER, SOLID TYRE 1070MM FORK, ROTARY, BACKBUZZER, SPION, LED, SAFETY BELT;-;-;3,5TON;ELECTRIC;ZSM450;4500MM;-;SOLID TIRE;28X9-15;200/50-10;3
196;05035DT8141;CPD35-GC6LI-S;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM FORKLIFT M300, 80V202AH, REMA CHARGER, SOLID TYRE 1070MM FORK, ROTARY, BACKBUZZER, SPION, LED, SAFETY BELT;-;-;3,5TON;ELECTRIC;ZSM450;4500MM;-;SOLID TIRE;28X9-15;200/50-10;3
197;05035DT8142;CPD35-GC6LI-S;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM FORKLIFT M300, 80V202AH, REMA CHARGER, SOLID TYRE 1070MM FORK, ROTARY, BACKBUZZER, SPION, LED, SAFETY BELT;-;-;3,5TON;ELECTRIC;ZSM450;4500MM;-;SOLID TIRE;28X9-15;200/50-10;3
198;05035DT8143;CPD35-GC6LI-S;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM FORKLIFT M300, 80V202AH, REMA CHARGER, SOLID TYRE 1070MM FORK, ROTARY, BACKBUZZER, SPION, LED, SAFETY BELT;-;-;3,5TON;ELECTRIC;ZSM450;4500MM;-;SOLID TIRE;28X9-15;200/50-10;3
199;05035DT8144;CPD35-GC6LI-S;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM FORKLIFT M300, 80V202AH, REMA CHARGER, SOLID TYRE 1070MM FORK, ROTARY, BACKBUZZER, SPION, LED, SAFETY BELT;-;-;3,5TON;ELECTRIC;ZSM450;4500MM;-;SOLID TIRE;28X9-15;200/50-10;3
200;05035DT8145;CPD35-GC6LI-S;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM FORKLIFT M300, 80V202AH, REMA CHARGER, SOLID TYRE 1070MM FORK, ROTARY, BACKBUZZER, SPION, LED, SAFETY BELT;-;-;3,5TON;ELECTRIC;ZSM450;4500MM;-;SOLID TIRE;28X9-15;200/50-10;3
201;05035DT8146;CPD35-GC6LI-S;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM FORKLIFT M300, 80V202AH, REMA CHARGER, SOLID TYRE 1070MM FORK, ROTARY, BACKBUZZER, SPION, LED, SAFETY BELT;-;-;3,5TON;ELECTRIC;ZSM450;4500MM;-;SOLID TIRE;28X9-15;200/50-10;3
202;05035DT8147;CPD35-GC6LI-S;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI LITHIUM FORKLIFT M300, 80V202AH, REMA CHARGER, SOLID TYRE 1070MM FORK, ROTARY, BACKBUZZER, SPION, LED, SAFETY BELT;-;-;3,5TON;ELECTRIC;ZSM450;4500MM;-;SOLID TIRE;28X9-15;200/50-10;3
203;05040DT8792;CPD40-GB2LI;FORKLIFT CB;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE CB HELI M300,SIDE SHIFTER,1220MM ORK FRONT REAR, ROTARY, BLUE SPOT, LED, SPION, BACK BUZZER, SAFETY BELT, USB CHARGER;-;-;4TON;ELECTRIC;M300;3000MM;-;SOLID TIRE;250-15;21X8-9;3
204;CJ2511-3083;PC-CB30SL-P1;HAND PALLET MANUAL;DIESEL;2026;HAND PALLET MANUAL FORK PANJANG 1220MM/LEBAR 685MM;-;-;-;-;-;-;-;LOAD WHEEL;-;-;-
205;CJ2511-3084;PC-CB30SL-P1;HAND PALLET MANUAL;DIESEL;2026;HAND PALLET MANUAL FORK PANJANG 1220MM/LEBAR 685MM;-;-;-;-;-;-;-;LOAD WHEEL;-;-;-
206;08020JUA163;CQDM20J-LI;HAND PALLET ELECTRIC;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE PM HELI LITHIUM BATTERY SMALL REACH TRUCK ER ZSM500,1070MM FORTK (WITH TILTING FUNCTION);-;-;2TON;ELECTRIC;ZSM500;5000MM;-;LOAD WHEEL;-;-;3
207;08020JUA164;CQDM20J-LI;HAND PALLET ELECTRIC;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE PM HELI LITHIUM BATTERY SMALL REACH TRUCK ER ZSM500,1070MM FORTK (WITH TILTING FUNCTION);-;-;2TON;ELECTRIC;ZSM500;5000MM;-;LOAD WHEEL;-;-;3
208;08020JUA165;CQDM20J-LI;HAND PALLET ELECTRIC;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE PM HELI LITHIUM BATTERY SMALL REACH TRUCK ER ZSM500,1070MM FORTK (WITH TILTING FUNCTION);-;-;2TON;ELECTRIC;ZSM500;5000MM;-;LOAD WHEEL;-;-;3
209;08020JUA166;CQDM20J-LI;HAND PALLET ELECTRIC;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE PM HELI LITHIUM BATTERY SMALL REACH TRUCK ER ZSM500,1070MM FORTK (WITH TILTING FUNCTION);-;-;2TON;ELECTRIC;ZSM500;5000MM;-;LOAD WHEEL;-;-;3
210;08020JUA167;CQDM20J-LI;HAND PALLET ELECTRIC;ELECTRIC;2026;FORKLIFT ELECTRIC TYPE PM HELI LITHIUM BATTERY SMALL REACH TRUCK ER ZSM500,1070MM FORTK (WITH TILTING FUNCTION);-;-;2TON;ELECTRIC;ZSM500;5000MM;-;LOAD WHEEL;-;-;3
211;080207EF930;CBD20-UGD;PALLET MOVER CABIN;ELECTRIC;2026;PALLET MOVER CABIN LOW FORK/SINGLE PALLET P 1150MM/L 680MM;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
212;080207EF931;CBD20-UGD;PALLET MOVER CABIN;ELECTRIC;2026;PALLET MOVER CABIN LOW FORK/SINGLE PALLET P 1150MM/L 680MM;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
213;080207EF932;CBD20-UGD;PALLET MOVER CABIN;ELECTRIC;2026;PALLET MOVER CABIN LOW FORK/SINGLE PALLET P 1150MM/L 680MM;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
214;080207EF933;CBD20-UGD;PALLET MOVER CABIN;ELECTRIC;2026;PALLET MOVER CABIN LOW FORK/SINGLE PALLET P 1150MM/L 680MM;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
215;080207EF934;CBD20-UGD;PALLET MOVER CABIN;ELECTRIC;2026;PALLET MOVER CABIN LOW FORK/SINGLE PALLET P 1150MM/L 680MM;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
216;080207EF935;CBD20-UGD;PALLET MOVER CABIN;ELECTRIC;2026;PALLET MOVER CABIN LONG FORK/DOUBLE PALLET P 2400MM/L 680MM;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
217;080207EF936;CBD20-UGD;PALLET MOVER CABIN;ELECTRIC;2026;PALLET MOVER CABIN LONG FORK/DOUBLE PALLET P 2400MM/L 680MM;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
218;080207EF937;CBD20-UGD;PALLET MOVER CABIN;ELECTRIC;2026;PALLET MOVER CABIN LONG FORK/DOUBLE PALLET P 2400MM/L 680MM;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
219;080207EF938;CBD20-UGD;PALLET MOVER CABIN;ELECTRIC;2026;PALLET MOVER CABIN LONG FORK/DOUBLE PALLET P 2400MM/L 680MM;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
220;080207EF939;CBD20-UGD;PALLET MOVER CABIN;ELECTRIC;2026;PALLET MOVER CABIN LONG FORK/DOUBLE PALLET P 2400MM/L 680MM;-;-;2TON;ELECTRIC;-;-;-;LOAD WHEEL;-;-;-
221;CJ25113080;PC-CB30SL-P1;HAND PALLET MANUAL;DIESEL;2026;HAND PALLET MANUAL FORK PANJANG 1220MM/LEBAR 685MM;-;-;-;-;-;-;-;LOAD WHEEL;-;-;-
222;CJ25113081;PC-CB30SL-P1;HAND PALLET MANUAL;DIESEL;2026;HAND PALLET MANUAL FORK PANJANG 1220MM/LEBAR 685MM;-;-;-;-;-;-;-;LOAD WHEEL;-;-;-
223;CJ25113084;PC-CB30SL-P1;HAND PALLET MANUAL;DIESEL;2026;HAND PALLET MANUAL FORK PANJANG 1220MM/LEBAR 685MM;-;-;-;-;-;-;-;LOAD WHEEL;-;-;-
224;CJ25120026;PC-CB30SL-P1;HAND PALLET MANUAL;DIESEL;2026;HAND PALLET MANUAL FORK PANJANG 1220MM/LEBAR 685MM;-;-;-;-;-;-;-;LOAD WHEEL;-;-;-
